;ENERGYSTARScore;LargestPropertyUseType;TotalGHGEmissions;SiteEnergyUse(kBtu);NumberofFloors;NumberofBuildings;PrimaryPropertyType;Longitude;Latitude;BuildingType;DataYear;CouncilDistrictCode;Neighborhood;YearBuilt;PropertyGFATotal;SiteEnergyUse(kBtu)_trans;TotalGHGEmissions_trans
55;48.0;Medical Office;563.78;18868768.0;3.0;1.0;Medical Office;-122.3213373;47.61249662;NonResidential;2015;3;EAST;1965;179014;1.736109249922472;1.8050426585413524
56;24.0;Hotel;255.64;7231928.0;7.0;1.0;Hotel;-122.3268374;47.60895788;NonResidential;2015;3;EAST;1908;76631;1.0960313308256848;1.3497751015641586
57;64.8;Medical Office;444.42;15240688.0;6.0;1.0;Mixed Use Property;-122.3266192;47.60831445;NonResidential;2015;3;EAST;1983;187600;1.6030786398125931;1.6705557623689717
58;95.0;Retail Store;39.69;1074180.0;2.0;1.0;Retail Store;-122.33805;47.622375;NonResidential;2015;7;LAKE UNION;1929;58320;-0.5615281162316286;0.18035265571093476
59;96.0;Office;131.03;13300859.0;5.0;1.0;Large Office;-122.33589247;47.62428336;NonResidential;2015;7;LAKE UNION;2010;316306;1.5155314110096356;0.9463715564347608
60;40.0;Hotel;509.18;18829136.0;7.0;1.0;Hotel;-122.333131;47.6263594;NonResidential;2015;3;LAKE UNION;1990;282863;1.7348243726872645;1.7477120628616911
61;53.8;Other;760.51;29337400.0;1.0;1.0;Other;-122.3534322;47.62124083;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1962;129000;1.9952332220102247;1.9713289435370676
62;59.6;Other;123.28;5069854.0;1.0;1.0;Other;-122.3534322;47.62124083;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1962;91213;0.8291828120171426;0.9086919188968489
63;53.2;Other;900.81;27185096.0;5.0;1.0;Other;-122.3502752;47.62189039;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1938;396085;1.9519699923155625;2.0639610134755517
64;89.0;Office;636.96;41734776.0;12.0;1.0;Large Office;-122.33592466;47.62099765;NonResidential;2015;7;LAKE UNION;2010;571329;2.187753101588235;1.8732329875735414
65;63.8;Other;96.39;2632472.0;2.0;1.0;Other;-122.35193;47.62393635;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1962;49680;0.2892257617033427;0.7550969224996587
66;90.6;Other;6.45;924980.0;1.0;1.0;Other;-122.3499699;47.62388082;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1928;60696;-0.7174420306582944;-1.105349571549023
67;56.6;Other;398.51;20828130.0;2.0;1.0;Other;-122.3499699;47.62388082;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1928;262048;1.795932227385892;1.6082156566085035
68;36.6;Office;30.19;4329966.0;2.0;1.0;Small- and Mid-Sized Office;-122.3483417;47.623925;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1986;66240;0.705029977400263;-0.003655954488272479
69;93.0;Office;634.03;36681188.0;6.0;1.0;Large Office;-122.344706;47.62334946;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;2010;920598;2.1186815744932868;1.870666685847494
70;72.0;Office;45.83;3303553.0;4.0;1.0;Small- and Mid-Sized Office;-122.3584269;47.62038448;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1970;76213;0.483630210593072;0.2757904652192043
71;52.0;Hotel;138.68;5061274.0;6.0;1.0;Hotel;-122.3571048;47.62294488;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;2002;117738;0.8278685945956502;0.9813059082098611
72;51.0;Hotel;196.34;5570472.0;4.0;1.0;Hotel;-122.3175345;47.65774638;NonResidential;2015;4;NORTHEAST;1962;50017;0.9016151239982512;1.1925664355580665
73;85.0;K-12 School;25.2;1857329.0;3.0;1.0;K-12 School;-122.3579283;47.56261299;SPS-District K-12;2015;1;DELRIDGE;1999;74468;-0.025447022721287762;-0.12697481626115537
74;43.0;K-12 School;63.95;2303288.0;3.0;1.0;K-12 School;-122.3081985;47.6262348;NonResidential;2015;3;EAST;1923;67743;0.1710554274949357;0.49344597198372003
75;100.0;K-12 School;229.98;5889882.0;6.0;1.0;K-12 School;-122.304164;47.62595722;NonResidential;2015;3;EAST;1908;194104;0.9439212554277414;1.287090980706222
76;71.0;Office;30.95;4439034.0;3.0;1.0;Small- and Mid-Sized Office;-122.3012707;47.58406769;NonResidential;2015;3;SOUTHEAST;2003;99433;0.7248456820726298;0.013201314322889327
77;71.0;K-12 School;14.99;2150120.0;2.0;1.0;K-12 School;-122.2906221;47.57334571;SPS-District K-12;2015;2;SOUTHEAST;1991;58933;0.10905356683314754;-0.4897254190359679
78;65.0;K-12 School;211.49;5851209.0;1.0;1.0;K-12 School;-122.3112112;47.56301254;SPS-District K-12;2015;2;GREATER DUWAMISH;1957;130862;0.9389450394773529;1.2371152198253628
79;94.0;K-12 School;15.1;1521329.0;3.0;1.0;K-12 School;-122.2764003;47.55446464;SPS-District K-12;2015;2;SOUTHEAST;1989;59955;-0.21466187438602136;-0.48453420464290187
80;84.0;K-12 School;97.38;3072599.0;2.0;1.0;K-12 School;-122.3589452;47.6367344;SPS-District K-12;2015;7;MAGNOLIA / QUEEN ANNE;1964;93218;0.4224522751522794;0.7615245617502332
81;54.0;Other;44.92;6443260.0;4.0;1.0;Other;-122.315342;47.6753048;NonResidential;2015;4;NORTHEAST;1941;56521;1.0111630528797153;0.26253692837890447
82;87.6;Other;139.24;4461969.0;2.0;1.0;Other;-122.3161909;47.6756688;NonResidential;2015;4;NORTHEAST;1929;206934;0.7289393743452066;0.9837820883445699
83;86.0;Hotel;138.87;3864699.0;4.0;1.0;Hotel;-122.3462382;47.73127184;NonResidential;2015;5;NORTHWEST;2001;51390;0.6133334030431342;0.9821472325027062
84;88.0;K-12 School;127.52;3939221.0;2.0;1.0;K-12 School;-122.3539331;47.72465187;SPS-District K-12;2015;5;NORTHWEST;1963;131013;0.6288724473122492;0.9296087973498904
85;95.0;K-12 School;377.09;10444297.0;1.0;1.0;K-12 School;-122.3375948;47.72595704;SPS-District K-12;2015;5;NORTHWEST;1959;245587;1.354614996886955;1.5764591307830205
86;75.0;Hotel;88.4;3298570.0;3.0;1.0;Hotel;-122.3410974;47.72527664;NonResidential;2015;5;NORTHWEST;2002;69138;0.48236418712891116;0.7004953777493335
87;75.0;K-12 School;14.17;2033074.0;3.0;1.0;K-12 School;-122.3490987;47.65474724;SPS-District K-12;2015;6;LAKE UNION;1991;66588;0.0580449898467757;-0.5297507762624353
88;97.0;Hotel;150.23;6935723.0;5.0;1.0;Hotel;-122.33677673;47.60477066;NonResidential;2015;7;DOWNTOWN;1904;190980;1.06549992465272;1.0303393239989431
89;55.4;Other - Entertainment/Public Assembly;338.23;14169301.0;6.0;1.0;Other;-122.3369663;47.60810553;Nonresidential COS;2015;7;DOWNTOWN;1998;284100;1.5564743031607478;1.5136116929961299
90;28.0;Hospital (General Medical & Surgical);1874.42;63362516.0;5.0;1.0;Hospital;-122.37961578;47.66742706;NonResidential;2015;6;BALLARD;1954;285333;2.400415726831439;2.4533239705154526
91;91.0;K-12 School;11.24;1612965.0;2.0;1.0;K-12 School;-122.3622592;47.67031559;SPS-District K-12;2015;6;BALLARD;1991;55513;-0.15849019370991294;-0.6961159781653777
92;47.4;Other;220.94;10434387.0;4.0;1.0;Other;-122.32771508;47.60158047;Nonresidential COS;2015;2;DOWNTOWN;2006;61156;1.3539691385692063;1.263214020923122
93;77.6;Museum;42.99;2076630.0;4.0;1.0;Other;-122.3228283;47.59809588;NonResidential;2015;2;DOWNTOWN;1910;72820;0.07742284663788519;0.23345556877203757
94;75.0;Hotel;208.03;7753080.0;4.0;1.0;Hotel;-122.347197;47.62557152;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1996;162222;1.1463208185452989;1.2272474562354967
95;92.0;K-12 School;181.93;8747819.0;4.0;1.0;K-12 School;-122.2928463;47.57604857;SPS-District K-12;2015;2;SOUTHEAST;1990;289588;1.2320678995536691;1.1466571306164572
96;48.4;College/University;60.35;2755578.0;3.0;1.0;College/University;-122.3217405;47.61496242;NonResidential;2015;3;EAST;1915;63330;0.3290014132290274;0.4559312479263772
97;19.0;College/University;839.79;37430780.0;2.0;1.0;College/University;-122.3500523;47.54550494;Campus;2015;1;DELRIDGE;1970;441071;2.1296145443393537;2.0257075699023215
98;34.2;Office;224.13;16238985.0;2.0;1.0;Small- and Mid-Sized Office;-122.2641702;47.67843749;NonResidential;2015;4;NORTHEAST;2002;96300;1.6431447258973204;1.271756529415626
99;61.8;Repair Services (Vehicle, Shoe, Locksmith, etc);211.33;6577130.0;1.0;1.0;Other;-122.3218127;47.59455098;Nonresidential COS;2015;2;GREATER DUWAMISH;1950;67356;1.0264075941392794;1.2366627103407097
100;62.0;K-12 School;366.61;13609040.0;3.0;1.0;K-12 School;-122.3018326;47.60502046;SPS-District K-12;2015;3;CENTRAL;2008;254523;1.5304132591329265;1.5602144545233358
101;92.0;K-12 School;53.45;2447651.0;3.0;1.0;K-12 School;-122.2588187;47.51466446;SPS-District K-12;2015;2;SOUTHEAST;2001;78804;0.22518728427201695;0.3768593408945264
102;83.0;K-12 School;39.29;2266570.0;3.0;1.0;K-12 School;-122.2908219;47.61229388;SPS-District K-12;2015;3;CENTRAL;2002;66994;0.1566455780421904;0.1735981902073042
103;90.0;K-12 School;82.55;3265995.0;3.0;1.0;K-12 School;-122.28844452;47.52933502;SPS-District K-12;2015;2;GREATER DUWAMISH;2000;98357;0.474031833374313;0.6570733062322025
104;38.2;Office;59.61;4316654.0;1.0;1.0;Small- and Mid-Sized Office;-122.2840532;47.53830025;NonResidential;2015;2;GREATER DUWAMISH;1958;54765;0.7025710825224392;0.44792476488929417
105;83.6;Other - Lodging/Residential;104.17;2017694.0;5.0;1.0;Other;-122.2840532;47.53830025;NonResidential;2015;2;GREATER DUWAMISH;2009;89821;0.05108499366528019;0.8038162193329128
106;46.0;College/University;105.32;4399828.0;2.0;1.0;College/University;-122.3615464;47.65153666;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1980;52611;0.7177895461762784;0.8106874596116731
107;88.0;Residence Hall/Dormitory;123.02;4418055.0;4.0;1.0;Residence Hall/Dormitory;-122.3638034;47.65076266;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;2001;139600;0.7210791703834418;0.9073844436686983
108;96.0;K-12 School;202.97;8050977.0;2.0;1.0;K-12 School;-122.294626;47.70783561;SPS-District K-12;2015;5;NORTH;2011;236758;1.1733049078681228;1.2124972957437377
109;56.8;Other;398.56;13901935.0;6.0;1.0;Other;-122.3153334;47.60411727;NonResidential;2015;3;CENTRAL;1971;250981;1.5441924032357741;1.6082876399948072
110;97.0;K-12 School;49.08;1841968.0;3.0;1.0;K-12 School;-122.3598407;47.68734351;SPS-District K-12;2015;6;NORTHWEST;2002;62526;-0.033185477507692414;0.3209358550956247
111;19.0;Office;53.27;3349666.0;3.0;1.0;Small- and Mid-Sized Office;-122.3186034;47.5353246;NonResidential;2015;2;GREATER DUWAMISH;2007;64015;0.49524005585636033;0.37465351947881054
112;98.0;Retail Store;765.56;29067292.0;1.0;1.0;Retail Store;-122.3267018;47.70752593;NonResidential;2015;5;NORTH;1951;530039;1.9900131770082654;1.974969223959272
113;25.0;Other/Specialty Hospital;249.01;7613116.0;3.0;1.0;Other;-122.3217548;47.70624752;NonResidential;2015;5;NORTH;1964;54224;1.1332161253772246;1.3342434501943516
114;75.0;Retail Store;65.14;8835104.0;4.0;1.0;Retail Store;-122.32534027;47.70798492;NonResidential;2015;5;NORTH;1965;124342;1.2390370355981422;0.5053539181123273
115;13.0;Hospital (General Medical & Surgical);8046.7;251191824.0;10.0;1.0;Hospital;-122.2813832;47.66356652;NonResidential;2015;4;NORTHEAST;1953;879000;2.997777848174449;3.1745027271727735
116;74.0;Financial Office;80.49;3091559.0;3.0;1.0;Other;-122.3346575;47.70952866;NonResidential;2015;5;NORTHWEST;1996;55442;0.4276764535852856;0.6409974672532036
117;82.0;K-12 School;119.09;8728584.0;2.0;1.0;K-12 School;-122.3739682;47.67678666;SPS-District K-12;2015;6;BALLARD;1999;242795;1.2305210582765183;0.8872550503665301
118;94.4;Self-Storage Facility;40.35;1136698.0;5.0;1.0;"Self-Storage Facility
";-122.3170942;47.61229181;NonResidential;2015;3;EAST;1910;84870;-0.5036430573714091;0.19134056896903454
119;42.4;College/University;440.31;37117212.0;2.0;11.0;College/University;-122.3338342;47.69879162;Campus;2015;5;NORTHWEST;1970;694072;2.1250728429388057;1.6652609984174733
120;72.0;K-12 School;282.34;6863464.0;2.0;1.0;K-12 School;-122.2820193;47.54657866;SPS-District K-12;2015;2;SOUTHEAST;1952;173185;1.0578175760520754;1.4082538950088246
121;77.0;K-12 School;177.1;4998015.0;1.0;1.0;K-12 School;-122.3620019;47.54806021;SPS-District K-12;2015;1;DELRIDGE;1963;145341;0.8180970852416984;1.1303968923948988
122;67.0;Non-Refrigerated Warehouse;52.94;1738724.0;4.0;1.0;Non-Refrigerated Warehouse;-122.3160421;47.54941628;NonResidential;2015;2;GREATER DUWAMISH;1904;114297;-0.08725788008078963;0.3705888189216126
123;89.0;K-12 School;294.12;8037287.0;2.0;1.0;K-12 School;-122.2660141;47.52383423;SPS-District K-12;2015;2;SOUTHEAST;1960;184125;1.172090871710481;1.432206477458094
124;79.0;K-12 School;212.02;5674450.0;1.0;1.0;K-12 School;-122.3778526;47.69689628;SPS-District K-12;2015;6;BALLARD;1959;160270;0.9156952494457626;1.2386115574769931
125;82.0;Non-Refrigerated Warehouse;320.35;7370743.0;1.0;1.0;Non-Refrigerated Warehouse;-122.3332277;47.55860699;NonResidential;2015;2;GREATER DUWAMISH;1937;234144;1.109835324259391;1.4820598305543782
126;76.0;Retail Store;32.75;2721646.0;1.0;1.0;Retail Store;-122.3668974;47.52131741;NonResidential;2015;1;DELRIDGE;1966;64984;0.3182508094830346;0.05142884990211442
127;31.0;Retail Store;368.63;9560965.0;1.0;1.0;Retail Store;-122.3668974;47.52131741;NonResidential;2015;1;DELRIDGE;1965;67745;1.2940135162306232;1.5633837482018
128;93.0;K-12 School;271.32;12263687.0;2.0;1.0;K-12 School;-122.3666556;47.52967421;SPS-District K-12;2015;1;DELRIDGE;2010;367884;1.4622830178263575;1.3848627801269016
129;86.0;K-12 School;62.2;1911611.0;1.0;1.0;K-12 School;-122.3706774;47.51791397;SPS-District K-12;2015;1;DELRIDGE;1958;46797;0.0013048426479518485;0.4754985936850792
130;67.0;K-12 School;178.5;5436057.0;3.0;1.0;K-12 School;-122.3039472;47.59792434;SPS-District K-12;2015;3;CENTRAL;1963;136188;0.882946086894369;1.1351581485281537
131;74.6;Other;53.61;1755264.0;3.0;1.0;Other;-122.3962337;47.67771413;NonResidential;2015;6;BALLARD;1973;56000;-0.07834382155468778;0.3788134395120369
132;92.0;K-12 School;42.8;2075833.0;2.0;1.0;K-12 School;-122.27677917;47.54197311;SPS-District K-12;2015;2;SOUTHEAST;2004;67371;0.07707259273775184;0.23051774302183922
133;67.4;Self-Storage Facility;39.54;1186800.0;2.0;1.0;"Self-Storage Facility
";-122.3773622;47.54506084;NonResidential;2015;1;SOUTHWEST;1969;52088;-0.45990543119822574;0.17782826271901736
134;81.0;K-12 School;56.96;4213726.0;3.0;1.0;K-12 School;-122.3375797;47.6572102;SPS-District K-12;2015;4;LAKE UNION;2010;127776;0.6832512610264062;0.41835884531263545
135;82.0;Hotel;289.43;8964061.0;5.0;1.0;Hotel;-122.3290596;47.62970427;NonResidential;2015;3;LAKE UNION;1998;123920;1.2491858702136522;1.422794744968826
136;47.0;Museum;221.62;7338511.0;1.0;1.0;Other;-122.3366092;47.62759406;Nonresidential COS;2015;3;LAKE UNION;1900;58000;1.1066576650097082;1.265045962948188
137;85.8;Non-Refrigerated Warehouse;4.99;715446.0;2.0;1.0;Non-Refrigerated Warehouse;-122.340841;47.62651741;Nonresidential COS;2015;7;MAGNOLIA / QUEEN ANNE;1926;50292;-0.9953465147812359;-1.2995032633967973
138;77.0;Hotel;314.26;10735331.0;7.0;1.0;Hotel;-122.3405732;47.62754003;NonResidential;2015;7;MAGNOLIA / QUEEN ANNE;1998;207656;1.3732658131478956;1.4708829470883429
139;85.0;K-12 School;44.06;2364351.0;2.0;1.0;K-12 School;-122.3729249;47.68367156;SPS-District K-12;2015;6;BALLARD;1999;67235;0.19442834847799426;0.249746113993946
140;40.0;Office;166.73;9146727.0;2.0;1.0;Small- and Mid-Sized Office;-122.340249;47.69975953;Nonresidential COS;2015;5;NORTHWEST;1957;85017;1.2632700197446483;1.0938304082311643
141;97.0;K-12 School;17.86;1362993.0;3.0;1.0;K-12 School;-122.3884963;47.54026729;SPS-District K-12;2015;1;SOUTHWEST;1991;58118;-0.3218360554979546;-0.36602143347865335
142;73.0;Hotel;206.3;6056481.0;4.0;1.0;Hotel;-122.3323693;47.70923419;NonResidential;2015;5;NORTHWEST;1968;64893;0.964925296073681;1.2222478185893115
